Company,"PNP ID","Approved on Date"
"Dongguan Alllike Electronics Co., Ltd.",AIK,2015/11/04
"Dosch & Amand GmbH & Company KG",DUA,1997/02/12
"Dotronic Mikroelektronik GmbH",DOT,06/28/2002
"dPict Imaging, Inc.",DIM,2008/12/02
"DpiX, Inc.",DPX,09/23/1998
DPT,DPT,11/29/1996
"Dr. Bott KG",DRB,04/25/2002
"Dr. Neuhous Telekommunikation GmbH",DNT,11/29/1996
"Dragon Information Technology",DIT,11/29/1996
"DRS Defense Solutions, LLC",DRS,10/18/2011
"DS Multimedia Pte Ltd",DSD,02/14/2006
"DSM Digital Services GmbH",DSM,11/29/1996
"dSPACE GmbH",DCE,12/16/1996
"DTC Tech Corporation",DTC,11/29/1996
"DugoTech Co., LTD",DGK,06/14/2007
"Dune Microsystems Corporation",DMC,11/29/1996
"Dycam Inc",DYC,1998/08/01
"Dymo-CoStar Corporation",DYM,12/28/1998
"Dynamic Controls Ltd",DCL,05/24/2000
"Dynax Electronics (HK) Ltd",DTK,11/29/1996
"Dynax Electronics (HK) Ltd",DYX,11/29/1996
"e.Digital Corporation",EDC,10/23/2000
"E.E.P.D. GmbH",EEP,06/14/2007
"Eagle Technology",EGL,11/29/1996
"Eastman Kodak Company",KOD,05/24/2000
"Eastman Kodak Company",EKC,11/29/1996
"Easytel oy",TWI,07/16/1999
"EBS Euchner Büro- und Schulsysteme GmbH",EBS,2013/05/02
"Echo Speech Corporation",ECO,11/29/1996
"Eclipse Tech Inc",ETI,11/29/1996
"E-Cmos Tech Corporation",ECM,11/29/1996
"Eden Sistemas de Computacao S/A",ESC,11/29/1996
"Edimax Tech. Company Ltd",EDI,11/29/1996
EDMI,EDM,07/16/1998
"Edsun Laboratories",ELI,11/29/1996
"EE Solutions, Inc.",EES,04/16/2003
"EEH Datalink GmbH",EEH,1997/03/07
"Efficient Networks",ENI,11/29/1996
"Egenera, Inc.",EGN,2002/08/10
"Eicon Technology Corporation",EIC,11/29/1996
"EIZO GmbH Display Technologies",EGD,02/13/2009
"Eizo Nanao Corporation",ENC,12/28/1998
"EKSEN YAZILIM",EKS,04/25/2002
"ELAD srl",ELA,04/25/2002
"ELAN MICROELECTRONICS CORPORATION",ETD,2009/03/11
"ELAN MICROELECTRONICS CORPORATION",TSH,11/14/2014
"Elbit Systems of America",ESA,06/15/2009
"ELCON Systemtechnik GmbH",ESG,07/16/1999
"ELEA CardWare",LXS,06/25/1998
"Elecom Company Ltd",ECP,11/29/1996
"Elecom Company Ltd",ELE,11/29/1996
"Electro Cam Corp.",ECA,2000/10/08
"Electro Scientific Ind",ELC,11/29/1996
"Electronic Measurements",MMM,11/29/1996
"Electronic Trade Solutions Ltd",ETS,08/20/2002
"Electronic-Design GmbH",EDG,1997/12/08
"Electrosonic Ltd",ELL,09/13/1999
"Element Labs, Inc.",ELT,2007/11/10
"Elgato Systems LLC",EGA,2011/08/02
"Elitegroup Computer Systems Company Ltd",ECS,11/29/1996
"Elitegroup Computer Systems Company Ltd",UEG,11/29/1996
"Elmeg GmbH Kommunikationstechnik",ELG,11/29/1996
"Elmic Systems Inc",ELM,11/29/1996
"ELMO COMPANY, LIMITED",EMO,06/26/2012
"Elo TouchSystems Inc",ELO,11/29/1996
"Elonex PLC",ELX,11/29/1996
"El-PUSK Co., Ltd.",LPE,08/14/2001
"ELSA GmbH",ELS,11/29/1996
"ELTEC Elektronik AG",EAG,11/25/2014
"Embedded computing inc ltd",EMB,02/25/2002
"Embedded Solution Technology",EST,05/24/2000
"Embrionix Design Inc.",EMD,07/24/2013
"Emcore Corporation",EMK,05/31/2012
"Emerging Display Technologies Corp",EDT,08/18/2009
"EMG Consultants Inc",EMG,11/29/1996
"EMiNE TECHNOLOGY COMPANY, LTD.",EME,06/16/2005
Empac,EPC,1996/04/12
"Emulex Corporation",EMU,11/29/1996
"Enciris Technologies",ECI,2008/01/11
"Enciris Technologies",ECT,2008/01/11
"ENE Technology Inc.",ENE,03/15/2001
"e-Net Inc",DTL,10/16/1997
Enhansoft,EHN,11/16/2010
"ENIDAN Technologies Ltd",END,04/19/2000
"Ensemble Designs, Inc",ESD,2009/09/12
"Ensoniq Corporation",ENS,11/29/1996
"Enterprise Comm. & Computing Inc",ENT,11/29/1996
"Envision Peripherals, Inc",EPI,02/22/1999
"Eon Instrumentation, Inc.",EON,01/15/2015
"EPiCON Inc.",EPN,09/23/1998
"Epiphan Systems Inc.",EPH,03/14/2011
"Epson Research",EHJ,11/29/1996
"Equinox Systems Inc",EQX,11/29/1996
"Equipe Electronics Ltd.",EQP,07/14/2005
"Ergo Electronics",EGO,11/29/1996
"Ergo System",ERG,11/29/1996
"Ericsson Mobile Communications AB",ERI,10/22/1997
"Ericsson Mobile Networks B.V.",EUT,04/14/1998
"Ericsson, Inc.",ERN,09/23/1998
ES&S,ESK,1999/08/11
eSATURNUS,ESN,02/21/2012
"Escort Insturments Corporation",ERT,1997/02/05
"ESS Technology Inc",ESS,11/29/1996
"ESSential Comm. Corporation",ECC,11/29/1996
"Esterline Technologies",ESL,2012/06/01
"Esterline Belgium BVBA",ESB,01/15/2015
"E-Systems Inc",ESY,11/29/1996
"ET&T Technology Company Ltd",EEE,1998/04/05
"E-Tech Inc",ETT,11/29/1996
"eTEK Labs Inc.",ETK,07/16/1998
"Etherboot Project",ETH,2010/09/07
"Eugene Chukhlomin Sole Proprietorship, d.b.a.",ECK,2008/03/05
"Euraplan GmbH",ERP,11/29/1996
"Evans and Sutherland Computer",EAS,01/28/2003
Everex,EVX,11/29/1996
"Everton Technology Company Ltd",ETC,1997/10/04
"Evertz Microsystems Ltd.",ETL,06/14/2007
"eviateg GmbH",EVI,02/21/2000
"Ex Machina Inc",EMI,11/29/1996
"Exacom SA",YHW,11/29/1996
"Exatech Computadores & Servicos Ltda",EXT,09/23/1998
"Excel Company Ltd",ECL,05/27/1997
"Excession Audio",EXC,1998/06/11
"EXFO Electro Optical Engineering",XFO,04/29/1998
"Exide Electronics",EXI,11/29/1996
"Extended Systems, Inc.",ESI,07/16/1999
"Exterity Ltd",EXY,2009/12/02
"Extraordinary Technologies PTY Limited",CRO,2005/11/04
"Exxact GmbH",EXX,11/29/1996
"eyefactive Gmbh",EYF,2015/07/07
"eyevis GmbH",EYE,11/18/2011
"EzE Technologies",EZE,02/21/2005
"F.J. Tieman BV",FJT,06/25/1998
"Fairfield Industries",FFI,11/29/1996
"Fantalooks Co., Ltd.",FAN,2014/12/03
"Fanuc LTD",FNC,01/29/1997
"Farallon Computing",FAR,11/29/1996
"FARO Technologies",FRO,09/21/2012
"Faroudja Laboratories",FLI,2004/02/06
"Fast Multimedia AG",FMA,11/29/1996
"FastPoint Technologies, Inc.",FTI,06/21/2001
"Feature Integration Technology Inc.",FIT,2009/11/08
"Fellowes & Questec",FEL,11/29/1996
"Fellowes, Inc.",FMI,2001/05/07
"Fen Systems Ltd.",FEN,2010/04/05
"Ferranti Int'L",FER,11/29/1996
"Ferrari Electronic GmbH",TLA,1996/04/12
FHLP,FHL,11/29/1996
"Fibernet Research Inc",FRI,11/29/1996
"Finecom Co., Ltd.",FIN,11/27/1998
"Fingerprint Cards AB",FPC,06/14/2013
"First Industrial Computer Inc",PCG,11/29/1996
"First International Computer Inc",LEO,09/19/1997
"First International Computer Ltd",FCG,1997/10/04
"First Virtual Corporation",FVC,11/29/1996
"Flat Connections Inc",FWR,11/29/1996
"FlightSafety International",SSD,2000/10/08
"FLY-IT Simulators",FIS,1997/08/09
"FocalTech Systems Co., Ltd.",FTS,07/23/2013
"Focus Enhancements, Inc.",FCS,2002/12/12
"Fokus Technologies GmbH",FOK,10/22/2013
"FOR-A Company Limited",FOA,2008/06/12
"Force Computers",FRC,11/29/1996
"Ford Microelectronics Inc",FMC,1997/11/03
"Fore Systems Inc",FSI,11/29/1996
"Forefront Int'l Ltd",FIL,11/29/1996
"Formosa Industrial Computing Inc",FIC,11/29/1996
Formoza-Altair,FMZ,04/25/2003
"Forth Dimension Displays Ltd",FDD,2015/07/07
"Forvus Research Inc",FRE,04/24/1997
"Foss Tecator",FOS,10/22/1997
"Founder Group Shenzhen Co.",FZC,1999/08/11
"Fountain Technologies Inc",FTN,11/29/1996
"Fraunhofer Heinrich-Hertz-Institute",HHI,07/27/2012
"Freedom Scientific BLV",FRD,06/15/2007
"FREEMARS Heavy Industries",TCX,03/15/2001
"Frontline Test Equipment Inc.",FTE,01/20/1999
"FTG Data Systems",FTG,11/29/1996
"Fuji Xerox",FXX,11/29/1996
"FUJIFILM Corporation",FFC,08/22/2011
"Fujitsu Display Technologies Corp.",FDT,10/23/2002
"Fujitsu General Limited.",FGL,02/21/2000
"Fujitsu Ltd",FUJ,11/29/1996
"Fujitsu Microelect Ltd",FML,11/29/1996
"Fujitsu Peripherals Ltd",FPE,08/19/1997
"Fujitsu Siemens Computers GmbH",FUS,01/13/2000
"Fujitsu Spain",FJS,11/29/1996
"Fujitsu Takamisawa Component Limited",FJC,05/16/1999
"FUJITSU TEN LIMITED",FTL,12/20/2011
"Funai Electric Co., Ltd.",FNI,01/18/2005
"Furukawa Electric Company Ltd",FCB,11/29/1996
"FURUNO ELECTRIC CO., LTD.",FEC,11/29/1996
"Future Designs, Inc.",FDI,09/29/2014
"Future Domain",FDC,11/29/1996
"Future Systems Consulting KK",FSC,11/29/1996
"Futuretouch Corporation",FTC,11/29/1996
"FZI Forschungszentrum Informatik",FZI,1997/12/08
"G&W Instruments GmbH",SPH,02/25/2002
"G. Diehl ISDN GmbH",GDI,11/29/1996
"Gadget Labs LLC",GLS,11/29/1996
"Gage Applied Sciences Inc",GAG,11/29/1996
"GAI-Tronics, A Hubbell Company",HUB,03/26/2009
"Galil Motion Control",GAL,11/29/1996
"Garmin International",GRM,2011/09/12
"Garnet System Company Ltd",GTM,11/29/1996
"Gateway 2000",GWY,11/29/1996
"Gateway Comm. Inc",GCI,11/29/1996
"Gateworks Corporation",GWK,07/31/2013
"Gaudi Co., Ltd.",GAU,03/31/2003
"GCC Technologies Inc",GCC,1997/05/06
GDS,GDS,06/23/2004
"GE Fanuc Embedded Systems",GEF,06/14/2007
"Abaco Systems, Inc.",GEH,2010/03/09
"Gefen Inc.",GFN,2007/11/10
"Gem Plus",GEM,02/27/1998
"GEMINI 2000 Ltd",GMN,10/23/2000
"General Datacom",GDC,11/29/1996
"General Dynamics C4 Systems",GED,2013/09/01
"General Information Systems",GML,01/13/2000
"General Inst. Corporation",GIC,11/29/1996
"General Standards Corporation",GSC,07/16/1998
"General Touch Technology Co., Ltd.",GTT,11/21/2002
"Genesys ATE Inc",GEN,11/29/1996
"Genesys Logic",GLM,1999/08/11
"Gennum Corporation",GND,2006/05/09
"GEO Sense",GEO,11/29/1996
"Geotest Marvin Test Systems Inc",GTS,02/24/1998
"GERMANEERS GmbH",GER,12/20/2011
"GES Singapore Pte Ltd",GES,03/15/2001
"Getac Technology Corporation",GET,2010/11/05
"GFMesstechnik GmbH",GFM,03/15/2001
"GI Provision Ltd",GIP,2012/08/02
"Global Data SA",PST,11/29/1996
"Global Village Communication",GVL,11/29/1996
"GMK Electronic Design GmbH",GMK,01/18/2008
"GMM Research Inc",GMM,11/29/1996
"GMX Inc",GMX,11/29/1996
"GN Nettest Inc",GNN,07/30/1997
"GOEPEL electronic GmbH",GOE,06/24/2013
"Goldmund - Digital Audio SA",GLD,2012/06/02
"GOLD RAIN ENTERPRISES CORP.",GRE,2003/04/06
"Goldstar Company Ltd",GSM,11/29/1996
Goldtouch,GTI,1997/06/08
"Google Inc.",GGL,05/26/2010
"GoPro, Inc.",GPR,01/15/2015
"Granch Ltd",GRH,09/23/2002
"Grand Junction Networks",GJN,11/29/1996
"Grandstream Networks, Inc.",GSN,2014/03/03
"Graphic SystemTechnology",GST,11/29/1996
"Graphica Computer",GRA,11/29/1996
"Graphtec Corporation",GTC,11/29/1996
"Grass Valley Germany GmbH",TGV,06/14/2007
"Grey Cell Systems Ltd",GCS,04/29/1997
"Grossenbacher Systeme AG",GSY,04/19/2000
"G-Tech Corporation",GTK,11/29/1996
"Guillemont International",GIM,10/29/1997
"GUNZE Limited",GZE,2005/02/05
"Gunze Ltd",GNZ,11/29/1996
"Guntermann & Drunck GmbH",GUD,2003/10/03
"Guzik Technical Enterprises",GUZ,11/29/1996
"GVC Corporation",GVC,11/29/1996
"H.P.R. Electronics GmbH",HPR,08/29/2007
"Hagiwara Sys-Com Company Ltd",HSC,11/29/1996
"GW Instruments",GWI,11/29/1996
"Haider electronics",HAE,2001/05/07
"Haivision Systems Inc.",HAI,11/15/2007
Halberthal,HAL,1998/10/02
"Hall Research",HRI,2012/10/05
"HAMAMATSU PHOTONICS K.K.",HPK,12/20/2006
"Hampshire Company, Inc.",HTI,01/20/1999
"Hanchang System Corporation",HAN,06/21/2003
"HannStar Display Corp",HSD,2009/11/08
"HannStar Display Corp",HSP,2009/11/08
"HardCom Elektronik & Datateknik",HDC,04/14/1998
"Harman International Industries, Inc",HII,2015/09/01
"Harris & Jeffries Inc",HJI,11/29/1996
"Harris Canada Inc",HWA,03/13/1998
"Harris Corporation",HAR,12/20/2011
"Harris Semiconductor",HRS,1997/02/01
"Hauppauge Computer Works Inc",HCW,11/29/1996
"Hayes Microcomputer Products Inc",HAY,11/29/1996
"HCL America Inc",HCL,11/29/1996
"HCL Peripherals",HCM,2001/02/10
"HD-INFO d.o.o.",HDI,2001/08/10
"Headplay, Inc.",HPI,04/30/2007
"Heng Yu Technology (HK) Limited",HYT,10/23/2000
Hercules,HRC,03/15/2001
HERCULES,HRT,03/15/2001
"HETEC Datensysteme GmbH",HET,2004/03/02
"Hewlett Packard",HWP,03/15/2001
"Hewlett Packard",HPD,1997/02/05
"Hewlett-Packard Co.",HPC,2000/10/08
"Hewlett-Packard Co.",HPQ,2004/12/07
"Hexium Ltd.",HXM,04/15/2008
"Hibino Corporation",HIB,2003/09/07
"Highwater Designs Ltd",HWD,11/29/1996
"Hikom Co., Ltd.",HIK,10/13/2003
"Hilevel Technology",HIL,11/29/1996
"HIRAKAWA HEWTECH CORP.",HHC,05/20/2008
"Hitachi America Ltd",HIT,11/29/1996
"Hitachi Consumer Electronics Co., Ltd",HCE,05/15/2009
"Hitachi Information Technology Co., Ltd.",HIC,04/19/2000
"Hitachi Ltd",HTC,11/29/1996
"Hitachi Maxell, Ltd.",MXL,01/13/2000
"Hitachi Micro Systems Europe Ltd",HEL,1997/09/07
"Hitex Systementwicklung GmbH",HTX,01/30/1998
"hmk Daten-System-Technik BmbH",HMK,09/30/1997
"HOB Electronic GmbH",HOB,11/29/1996
"Holoeye Photonics AG",HOL,2005/02/02
"Holografika kft.",HDV,03/31/2005
"Holtek Microelectronics Inc",HTK,11/29/1996
"Home Row Inc",INC,11/29/1996
"HON HAI PRECISON IND.CO.,LTD.",FOX,2010/02/08
"HONKO MFG. CO., LTD.",HKA,2004/01/12
"Hope Industrial Systems, Inc.",HIS,01/13/2014
"Horner Electric Inc",APG,11/29/1996
"Horsent Technology Co., Ltd.",HST,2015/11/04
"Hosiden Corporation",HOE,1997/05/08
"HTBLuVA Mödling",HTL,02/17/2014
"Hualon Microelectric Corporation",HMC,11/29/1996
"HUALONG TECHNOLOGY CO., LTD",EBT,06/15/2007
"Hughes Network Systems",HNS,11/29/1996
"HUMAX Co., Ltd.",HMX,02/14/2006
"HYC CO., LTD.",HYO,2006/12/04
"Hydis Technologies.Co.,LTD",HYD,11/22/2010
"Hynix Semiconductor",HYV,11/29/2008
"Hypercope Gmbh Aachen",HYC,1997/01/12
"Hypertec Pty Ltd",HYR,11/29/1996
"Hyphen Ltd",HYP,11/29/1996
"I&T Telecom.",ITT,1999/08/11
"I/OTech Inc",IOT,11/29/1996
"IAT Germany GmbH",IAT,11/29/1996
"IBM Brasil",IBM,11/29/1996
"IBM Corporation",CDT,11/29/1996
"IBP Instruments GmbH",IBP,09/23/1998
"IBR GmbH",IBR,01/16/1998
"IC Ensemble",ICE,09/19/1997
"ICA Inc",ICA,05/20/2002
"ICCC A/S",ICX,11/29/1996
"ICD Inc",ICD,1997/09/06
"ICET S.p.A.",ARE,05/16/1999
"ICP Electronics, Inc./iEi Technology Corp.",ICP,2012/07/09
ICSL,IUC,08/14/1997
"Icuiti Corporation",XTD,06/14/2007
"Icuiti Corporation",IWR,2007/06/03
"Id3 Semiconductors",ISC,03/15/2001
"IDE Associates",IDE,11/29/1996
"IDEO Product Development",IDO,09/30/1997
"idex displays",DEX,04/25/2002
"IDEXX Labs",IDX,11/29/1996
"IDK Corporation",IDK,04/16/2003
"Idneo Technologies",IDN,2012/05/07
IDTECH,ITS,06/17/2002
IEE,IEE,06/21/2001
"IGM Communi",IGM,11/29/1996
"IINFRA Co., Ltd",IIN,2003/09/05
"Iiyama North America",IVM,11/29/1996
"Ikegami Tsushinki Co. Ltd.",IKE,11/14/2014
"Ikos Systems Inc",IKS,11/29/1996
ILC,IND,06/16/2004
"Image Logic Corporation",ILC,11/29/1996
"Image Stream Medical",ISM,05/27/2010
"IMAGENICS Co., Ltd.",IMG,2006/05/09
"IMAGEQUEST Co., Ltd",IQT,2002/08/10
Imagraph,IME,1996/04/12
Imagraph,IMA,11/29/1996
"ImasDe Canarias S.A.",IMD,1997/03/07
"IMC Networks",IMC,11/29/1996
"Immersion Corporation",IMM,07/16/1997
"IMP Electronics Ltd.",HUM,06/16/2004
Impinj,IMP,08/14/2012
"Impossible Production",IMN,2000/10/08
"In Focus Systems Inc",IFS,11/29/1996
"In4S Inc",ALD,1997/05/12
INBINE.CO.LTD,IBI,2001/06/11
"Indtek Co., Ltd.",INK,03/26/2007
"IneoQuest Technologies, Inc",IQI,02/18/2011
"Industrial Products Design, Inc.",IPD,07/16/1999
"Ines GmbH",INS,11/29/1996
"Infineon Technologies AG",IFX,04/19/2000
"Infinite Z",IFZ,2012/04/01
"Informatik Information Technologies",IIT,08/14/2013
Informtech,IFT,11/29/1996
"Infotek Communication Inc",ICI,11/29/1996
"Infotronic America, Inc.",ITR,06/21/2001
"Inframetrics Inc",INF,11/29/1996
"Ingram Macrotron",VSN,2000/10/08
"Ingram Macrotron Germany",VID,05/24/2000
"InHand Electronics",IHE,04/20/2010
"Initio Corporation",INI,11/29/1996
"Inmax Technology Corporation",IMT,2003/12/02
"Innolab Pte Ltd",INO,01/20/1999
"InnoLux Display Corporation",INL,12/15/2004
"InnoMedia Inc",INM,11/29/1996
"Innotech Corporation",ILS,10/23/2000
"Innovate Ltd",ATE,11/29/1996
"Innovent Systems, Inc.",INN,04/19/2000
"Innoware Inc",WII,01/30/1998
"Inovatec S.p.A.",inu,03/15/2001
"Inside Contactless",ICV,2010/04/11
"Inside Out Networks",ION,12/28/1998
"Insignia Solutions Inc",ISG,11/29/1996
"INSIS Co., LTD.",ISR,2003/12/02
"Institut f r angewandte Funksystemtechnik GmbH",IAF,03/20/1999
"Integraph Corporation",ING,11/29/1996
"Integrated Business Systems",IBC,11/29/1996
"Integrated Device Technology, Inc.",IDP,01/27/2010
"Integrated Tech Express Inc",ITE,11/29/1996
"Integrated Tech Express Inc",SRC,11/29/1996
"integrated Technology Express Inc",ITX,06/25/1997
"Integration Associates, Inc.",IAI,03/17/2004
"Intel Corp",ICO,2000/10/08
"Intelligent Instrumentation",III,11/29/1996
"Intelligent Platform Management Interface (IPMI) forum (Intel, HP, NEC, Dell)",IPI,05/24/2000
"Intelliworxx, Inc.",IWX,05/16/1999
"Intellix Corp.",SVC,01/18/2008
"Interaction Systems, Inc",TCH,03/20/1999
"Interactive Computer Products Inc",PEN,01/15/1997
"Intercom Inc",ITC,11/29/1996
"Interdigital Sistemas de Informacao",IDS,10/28/1997
"Interface Corporation",FBI,11/29/1996
"Interface Solutions",ISI,11/29/1996
"Intergate Pty Ltd",IGC,11/29/1996
"Interlace Engineering Corporation",IEC,11/29/1996
"Interlink Electronics",IEI,10/16/1998
"International Datacasting Corporation",IDC,02/25/1997
"International Display Technology",IDT,05/16/2002
"International Integrated Systems,Inc.(IISI)",ISY,2000/10/08
"International Microsystems Inc",IMI,11/29/1996
"International Power Technologies",IPT,1997/11/04
"Internet Technology Corporation",ITD,1997/05/12
"Interphase Corporation",INP,11/29/1996
"Interphase Corporation",INT,11/29/1996
"Intersil Corporation",LSD,03/14/2012
"Intersolve Technologies",IST,03/20/1999
Inter-Tel,ITL,03/21/1997
"Intertex Data AB",IXD,11/29/1996
"Intervoice Inc",IVI,11/29/1996
"Intevac Photonics Inc.",IVS,02/16/2011
"Intracom SA",ICM,1998/03/08
"Intrada-SDD Ltd",SDD,11/21/2007
"IntreSource Systems Pte Ltd",ISP,08/27/1997
"Intuitive Surgical, Inc.",SRG,02/16/2006
"Inventec Corporation",INA,09/13/2013
"Inventec Electronics (M) Sdn. Bhd.",INE,07/21/1998
"Inviso, Inc.",INV,10/23/2000
"I-O Data Device Inc",IOD,11/29/1996
"i-O Display System",IOS,03/15/2001
Iomega,IOM,11/29/1996
"IP Power Technologies GmbH",IPP,2010/06/12
"IP3 Technology Ltd.",IPQ,2013/11/11
"IPC Corporation",IPC,11/29/1996
"IPM Industria Politecnica Meridionale SpA",IPM,09/23/1998
"IPS, Inc. (Intellectual Property Solutions, Inc.)",IPS,2001/05/09
"IPWireless, Inc",IPW,03/15/2001
"ISIC Innoscan Industrial Computers A/S",IIC,07/23/2003
"Isolation Systems",ISL,11/29/1996
"ISS Inc",ISS,11/29/1996
"Itausa Export North America",ITA,11/29/1996
"Ithaca Peripherals",IPR,1997/01/07
"ITK Telekommunikation AG",ITK,11/29/1996
"ITM inc.",ITM,04/24/2001
"IT-PRO Consulting und Systemhaus GmbH",ITP,10/23/2000
"Jace Tech Inc",JCE,11/29/1996
"Jaeik Information & Communication Co., Ltd.",JIC,10/23/2000
"Jan Strapko - FOTO",XFG,2001/07/05
"Janich & Klass Computertechnik GmbH",JUK,2002/08/10
"Janz Automationssysteme AG",JAS,2009/03/11
"Japan Aviation Electronics Industry, Limited",JAE,03/15/2001
"Japan Digital Laboratory Co.,Ltd.",JDL,04/19/2000
"Japan Display Inc.",JDI,04/18/2013
"Jaton Corporation",JAT,09/24/1997
"JET POWER TECHNOLOGY CO., LTD.",JET,03/15/2001
"Jetway Information Co., Ltd",JWY,09/22/2003
"jetway security micro,inc",JTY,2009/11/11
"Jiangsu Shinco Electronic Group Co., Ltd",SHI,2004/10/08
"Jones Futurex Inc",JFX,11/29/1996
"Jongshine Tech Inc",LTI,11/29/1996
"Josef Heim KG",HKG,11/29/1996
"JPC Technology Limited",JPC,10/23/2000
"JS DigiTech, Inc",JSD,10/23/2000
"JS Motorsports",JTS,1997/05/12
Junnila,TPJ,03/15/2001
"Jupiter Systems",JUP,2006/05/09
"Jupiter Systems, Inc.",JSI,06/14/2007
JVC,JVC,10/23/2000
"JVC KENWOOD Corporation",JKC,2012/08/03
"JWSpencer & Co.",JWS,07/16/1999
"Kansai Electric Company Ltd",SGE,1996/04/12
"Kaohsiung Opto Electronics Americas, Inc.",HIQ,03/14/2012
"Karn Solutions Ltd.",KSL,2006/08/05
Karna,KAR,02/21/2000
"Katron Tech Inc",KTN,11/29/1996
"Kayser-Threde GmbH",KTG,11/29/1996
"KDDI Technology Corporation",KDT,05/22/2012
KDE,KDE,08/14/2001
"KDS USA",KDS,11/29/1996
"KEISOKU GIKEN Co.,Ltd.",KGL,04/17/2012
"Kensington Microware Ltd",KML,11/29/1996
"Kenwood Corporation",KWD,02/22/2008
KEPS,EPS,11/29/1996
"Kesa Corporation",KES,11/29/1996
"Key Tech Inc",KEY,11/29/1996
"Key Tronic Corporation",KTK,11/29/1996
"Keycorp Ltd",KCL,05/20/1997
KeyView,KVX,08/13/2012
"Kidboard Inc",KBI,04/24/1997
"KIMIN Electronics Co., Ltd.",KME,02/15/2011
"Kinetic Systems Corporation",KSC,11/29/1996
"King Phoenix Company",KPC,11/29/1996
"King Tester Corporation",KSX,07/16/1998
"Kingston Tech Corporation",KTC,11/29/1996
"Kionix, Inc.",KIO,12/23/2013
"KiSS Technology A/S",KIS,06/16/2005
"Klos Technologies, Inc.",PVP,2000/10/08
"Kobil Systems GmbH",KBL,03/15/2001
"Kobil Systems GmbH",KOB,03/15/2001
"Kodiak Tech",KDK,11/29/1996
"Kofax Image Products",KFX,11/29/1996
"Kollmorgen Motion Technologies Group",KOL,11/29/1996
"KOLTER ELECTRONIC",KOE,03/15/2001
"Komatsu Forest",KFE,04/20/2010
"Konica corporation",KNC,1997/05/08
"Konica Technical Inc",KTI,11/29/1996
"Kontron Electronik",TWE,11/29/1996
"Kontron Embedded Modules GmbH",KEM,08/29/2007
"Kontron Europe GmbH",KEU,02/20/2014
"Korea Data Systems Co., Ltd.",KDM,12/18/2003
"KOUZIRO Co.,Ltd.",KOU,07/27/2012
"KOWA Company,LTD.",KOW,2008/12/03
"Kramer Electronics Ltd. International",KMR,2013/10/07
"Krell Industries Inc.",KRL,2004/03/08
"Kroma Telecom",KRM,2010/05/05
"Kroy LLC",KRY,07/16/1998
K-Tech,KTE,03/31/2003
"KUPA China Shenzhen Micro Technology Co., Ltd. Gold Institute",KSG,04/22/2014
"Kurta Corporation",KUR,11/29/1996
"Kvaser AB",KVA,01/24/1997
"KYE Syst Corporation",KYE,11/29/1996
"Kyocera Corporation",KYC,11/29/1996
"Kyushu Electronics Systems Inc",KEC,1998/12/01
"K-Zone International",KZN,06/21/2001
"K-Zone International co. Ltd.",KZI,2000/10/08
"L-3 Communications",LLL,2010/11/05
"La Commande Electronique",LCE,11/29/1996
"Labcal Technologies",LCT,1999/08/11
"Labtec Inc",LTC,1997/08/12
"Labway Corporation",LWC,1996/04/12
LaCie,LAC,12/28/1998
"Laguna Systems",LAG,11/29/1996
"Land Computer Company Ltd",LND,11/29/1996
"LANETCO International",LNT,2003/02/05
"Lanier Worldwide",LWW,11/29/1996
"Lars Haagh ApS",LHA,1997/09/01
"LASAT Comm. A/S",LAS,11/29/1996
"Laser Master",LMT,11/29/1996
"Laserdyne Technologies",LDN,10/16/2013
"Lasergraphics, Inc.",LGX,02/21/2000
"Latitude Comm.",LCM,11/29/1996
"Lava Computer MFG Inc",LAV,04/14/1997
LCI,LCC,2000/10/08
"Lectron Company Ltd",LEC,03/27/1997
"Leda Media Products",LMP,1998/11/05
"Legerity, Inc",LEG,01/18/2005
"Leitch Technology International Inc.",LTV,2003/09/12
Lenovo,LNV,07/14/2005
"Lenovo Beijing Co. Ltd.",LIN,05/22/2012
"Lenovo Group Limited",LEN,2005/03/06
"Lexical Ltd",LEX,11/29/1996
LEXICON,LCN,2005/01/03
"Leutron Vision",PRS,11/29/1996
"Lexmark Int'l Inc",LMI,11/29/1996
"LG Semicom Company Ltd",LGS,11/29/1996
LGIC,MAN,02/21/2000
"LifeSize Communications",LSC,02/14/2006
"Lighthouse Technologies Limited",LHT,2010/04/05
"Lightware Visual Engineering",LWR,2009/04/02
"Lightware, Inc",LTW,10/16/1998
"Lightwell Company Ltd",LZX,1997/02/12
"Likom Technology Sdn. Bhd.",LKM,04/23/1998
"Linear Systems Ltd.",LNR,2007/11/10
"Link Tech Inc",LNK,11/29/1996
"Linked IP GmbH",LIP,07/19/2010
"Lisa Draexlmaier GmbH",FGD,02/22/1999
"Litelogic Operations Ltd",LOL,2011/09/12
"Lite-On Communication Inc",LCI,11/29/1996
"Lithics Silicon Technology",LIT,03/15/2001
"Litronic Inc",LTN,1998/03/02
"Locamation B.V.",LOC,2004/09/01
"Loewe Opta GmbH",LOE,2005/02/05
"Logic Ltd",LGC,1994/02/04
"Logical Solutions",LSL,11/29/1996
"Logicode Technology Inc",LOG,11/29/1996
"Logitech Inc",LGI,11/29/1996
"LogiDataTech Electronic GmbH",LDT,03/15/2001
"Logos Design A/S",SGO,04/24/2001
